MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,SalePrice
60,101,14215,8,5,2005,325300
45,57,7449,7,7,1930,139400
20,75,9742,8,5,2002,230000
120,44,4224,5,7,1976,129900
20,70,8246,5,8,1968,154000
20,110,14230,8,5,2007,256300
20,60,7200,5,7,1951,134800
20,98,11478,8,5,2007,306000
20,47,16321,5,6,1957,207500
30,60,6324,4,6,1927,68500
70,50,8500,4,4,1920,40000
20,70,8544,5,6,1966,149350
20,85,11049,8,5,2007,179900
20,70,10552,5,5,1959,165500
120,60,7313,9,5,2005,277500
60,108,13418,8,5,2004,309000
20,112,10859,5,5,1994,145000
20,74,8532,5,6,1954,153000
20,68,7922,5,7,1953,109000
90,65,6040,4,5,1955,82000
20,84,8658,6,5,1965,160000
20,115,16905,5,6,1959,170000
85,70,9180,5,7,1983,144000
20,70,9200,5,6,1975,130250
20,70,7945,5,6,1959,141000
120,61,7658,9,5,2005,319900
50,48,12822,7,5,2003,239686
20,84,11096,8,5,2006,249700
190,33,4456,4,5,1920,113000
20,66,7742,5,7,1966,127000
60,70,13869,6,6,1997,177000
50,52,6240,6,6,1934,114500
90,110,8472,5,5,1963,110000
20,68,50271,9,5,1981,385000
80,60,7134,5,5,1955,130000
20,100,10175,6,5,1964,180500
160,24,2645,8,5,1999,172500
60,89,11645,7,5,2004,196500
60,66,13682,10,5,2006,438780
20,60,7200,5,7,1972,124900
20,63,13072,6,5,2004,158000
75,60,7200,5,7,1920,101000
120,44,6442,8,5,2006,202500
70,50,10300,7,6,1921,140000
60,70,9375,7,5,1997,219500
60,76,9591,8,5,2004,317000
20,70,19900,7,5,1970,180000
20,72,10665,7,5,2003,226000
30,47,4608,4,6,1945,80000
50,81,15593,7,4,1953,225000
20,95,13651,7,6,1973,244000
20,69,7599,4,6,1982,129500
60,74,10141,7,5,1998,185000
20,85,10200,5,7,1954,144900
50,60,5790,3,6,1915,107400
180,21,1596,4,5,1973,91000
20,70,8475,4,7,1956,135750
50,50,8635,5,5,1948,127000
90,72,10778,4,5,1968,136500
50,60,10440,5,6,1910,110000
60,100,13000,6,6,1968,193500
120,32,4500,6,5,1998,153500
20,78,10206,8,5,2007,245000
20,80,8892,5,5,1960,126500
80,70,8530,7,5,1995,168500
60,121,16059,8,5,1991,260000
60,122,11911,6,5,2005,174000
160,40,3951,6,5,2009,164500
50,105,8470,3,2,1915,85000
20,60,8070,4,5,1994,123600
20,60,7200,4,5,1950,109900
20,85,8500,5,3,1961,98600
30,80,13360,5,7,1921,163500
190,60,7200,6,6,1910,133900
60,69,9337,6,5,1997,204750
60,70,9765,6,8,1993,185000
20,78,10264,7,5,1999,214000
20,73,10921,4,5,1965,94750
30,85,10625,5,5,1920,83000
20,77,9320,4,5,1959,128950
20,70,10603,6,7,1977,205000
60,77,9206,6,5,1985,178000
90,64,7018,5,5,1979,118964
20,94,10402,7,5,2009,198900
50,70,7758,7,4,1931,169500
60,75,9375,8,5,2003,250000
30,60,10800,4,7,1885,100000
20,50,6000,5,5,1948,115000
50,85,8500,5,7,1919,115000
20,105,11751,6,6,1977,190000
50,75,9525,6,4,1954,136900
80,70,7750,7,5,2000,180000
60,77,9965,7,5,2007,383970
20,70,21000,6,5,1953,217000
70,61,7259,6,8,1945,259500
160,34,3230,6,5,1999,176000
20,70,11616,5,5,1962,139000
20,74,8536,5,5,2006,155000
60,90,12376,7,5,1990,320000
60,65,8461,6,5,2005,163990
80,70,21453,6,5,1969,180000
50,50,6060,4,5,1939,100000
20,75,9464,6,7,1958,136000
120,55,7892,6,5,1993,153900
20,48,17043,6,5,1979,181000
190,60,6780,6,8,1935,84500
120,70,4928,6,5,1976,128000
45,55,4388,5,7,1930,87000
60,69,7590,6,5,1966,155000
20,69,8973,5,7,1958,150000
60,88,14200,7,6,1966,226000
60,70,12224,6,5,2000,244000
20,75,7388,5,6,1959,150750
20,70,6853,8,5,2001,220000
20,78,10335,5,6,1968,180000
20,80,10400,7,6,1970,174000
20,70,10355,5,5,1967,143000
90,82,11070,7,5,1988,171000
60,73,9066,8,5,1999,230000
60,65,15426,6,5,1997,231500
20,70,10500,4,5,1971,115000
20,78,11645,7,5,2005,260000
50,71,8520,5,4,1952,166000
20,78,10335,7,5,1999,204000
90,70,9100,5,5,1963,125000
160,24,2522,6,5,2004,130000
30,51,6120,5,7,1931,105000
60,70,9505,7,5,2001,222500
20,63,7500,7,5,2004,141000
50,70,6240,5,4,1936,115000
20,120,10356,5,6,1975,122000
20,107,13891,8,5,2007,372402
60,70,14803,6,5,1971,190000
20,70,13500,6,7,1960,235000
30,84,11340,6,5,1923,125000
50,60,9600,6,5,1924,79000
20,60,7200,5,7,1950,109500
60,92,12003,8,5,2009,269500
60,100,12552,7,5,2004,254900
60,134,19378,7,5,2005,320000
20,70,11120,6,6,1984,162500
60,110,13688,9,5,2003,412500
20,95,12182,7,5,2005,220000
45,55,5500,4,6,1956,103200
40,40,5400,6,7,1926,152000
190,62,10106,5,7,1940,127500
20,70,10708,5,5,1955,190000
60,86,10562,8,5,2007,325624
60,62,8244,7,5,2004,183500
20,70,16669,8,6,1981,228000
50,70,12358,5,6,1941,128500
20,141,31770,6,5,1960,215000
160,44,5306,7,7,1987,239000
20,80,10197,6,5,1961,163000
20,47,12416,6,5,1986,184000
20,84,12615,6,7,1950,243000
60,97,10029,6,5,1988,211000
50,70,13650,5,5,1958,172500
20,63,17423,9,5,2008,501837
30,60,8520,5,6,1923,100000
160,70,2117,6,5,2000,177000
70,54,7588,7,6,1920,200100
20,60,9060,5,6,1957,120000
50,63,11426,7,5,2003,200000
50,92,7438,5,8,1908,127000
75,90,22950,10,9,1892,475000
80,70,9947,7,5,1990,173000
50,60,10410,5,7,1916,135000
90,64,7018,5,5,1979,153337
120,41,4923,8,5,2001,286000
70,70,10570,8,8,1932,315000
60,70,7472,7,9,1972,184000
20,68,9017,7,5,1999,192000
160,24,2522,7,5,2004,130000
20,60,7180,5,7,1972,127000
